ref_key,tieu_de,trang_thai,nam,hoi_nghi_tap_chi,ho_phuong_phap,bieu_dien_dau_vao,co_dung_do_thi,loai_do_thi,co_tri_thuc_ngoai,ngon_ngu,tap_du_lieu,do_do_bao_cao,ket_qua_tot_nhat,xu_ly_phu_dinh_chuyen_y,co_giai_thich,co_ma_nguon,nguon_url,ghi_chu
Jiang2011,Target-dependent Twitter Sentiment Classification,da_doc_toan_van,2011,ACL 2011,G1_co_dien,dac_trung_thu_cong (dac trung noi dung + tu dien cam xuc General Inquirer + dac trung phu thuoc muc tieu -> SVM),co,khac,co,en,"Tự xây: tweet tiếng Anh từ 5 truy vấn (Obama, Google, iPad, Lakers, Lady Gaga), 459 tích cực, 268 tiêu cực, 1.212 trung tính sau khi bỏ trùng; 86% đồng thuận trên 100 tweet gán nhãn đôi",accuracy,"acc 68,3% trên 3 lớp (bộ phân loại phụ thuộc mục tiêu + tối ưu trên đồ thị tweet liên quan, Bảng 5), chưa tối ưu 66,0%; F1 theo lớp: tích cực 63,5, trung tính 71,0, tiêu cực 68,5. Con số 63,4% hay được trích là SVM-dep do Dong et al. 2014 CÀI LẠI trên tập khác, không phải số gốc của bài này",khong,khong,khong,https://aclanthology.org/P11-1016/,"Tim moi 22/09/2026, tra loi nhom G1_co_dien. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Long Jiang, Mo Yu, Ming Zhou, Xiaohua Liu, Tiejun Zhao (Microsoft Research Asia + Harbin Institute of Technology) | SUA 22/09/2026 (lan 3): ban truoc ghi ket_qua 63,4% — do la so SVM-dep ma Dong et al. 2014 cai lai tren TAP CUA DONG, khong phai ket qua cua bai nay tren tap cua chinh no; da thay bang so goc Bang 5. Cung sua co_tri_thuc_ngoai (bai dung tu dien General Inquirer) va co_dung_do_thi (buoc 3 toi uu tren DO THI cac tweet lien quan: retweet, cung tac gia cung muc tieu, tra loi — loai_do_thi=khac vi la do thi giua cac van ban, khong phai do thi ben trong cau) | La bai DAU TIEN de xuat phan loai cam xuc co MUC TIEU tren Twitter | Hai buoc phu: phan loai chu quan acc 68,2% (Bang 1), phan loai cuc tinh tren 268 tieu cuc + 268 tich cuc acc 85,6% (Bang 3) | co_giai_thich=khong, co_ma_nguon=khong: quet toan bai khong thay"
VoZhang2015,Target-Dependent Twitter Sentiment Classification with Rich Automatic Features,da_doc_toan_van,2015,IJCAI 2015,G1_co_dien,"embedding_tinh (word2vec + sentiment-driven embeddings cua Tang et al. 2014, gop qua ham pooling roi dua vao bo phan loai co dien)",khong,,co,en,"Twitter của Dong et al. 2014 (6.248 tweet huấn luyện, 692 kiểm tra) — KHÔNG phải tập của Jiang 2011",accuracy,"acc 71,1% / F1 69,9% (Target-dep+, mô hình cuối có thêm đặc trưng từ điển cảm xúc, Bảng 5); Target-dep không dùng từ điển: 69,7 / 68,0; so với AdaRNN 66,3 / 65,9 và SVM-dep (cài lại Jiang 2011) 63,4 / 63,3",khong,khong,khong,https://www.ijcai.org/Proceedings/15/Papers/194.pdf,"Tim moi 22/09/2026, tra loi nhom G1_co_dien. Kiem chung DA DOC TOAN VAN (pypdf tu ijcai.org). Tac gia: Duy-Tin Vo, Yue Zhang (Singapore University of Technology and Design) | SUA 22/09/2026 (lan 3): ban truoc ghi nham 69,7% la Target-dep+ (thuc ra la Target-dep) va ghi nham tap du lieu la cua Jiang 2011 — doi chieu lai Bang 5 va muc 5.1 'Our experiments are carried out on the target-dependent data set of Dong et al. [2014]' | LUU Y XEP NHOM: dung embedding (word2vec + embedding cam xuc cua Tang et al. 2014) lam dac trung TU DONG qua ham pooling co dinh roi dua vao bo phan loai tuyen tinh — khong hoc sau dau-cuoi, van gan G1 hon G2; truong hop RANH GIOI, hoc vien co the doi sang G2 | co_tri_thuc_ngoai=co: tu dien MPQA, HL, NRC (Bang 4 thu tung to hop, MPQA+HL tot nhat 67,40 tren kiem dinh cheo) | co_giai_thich=khong, co_ma_nguon=khong: quet toan bai khong thay"
GenerativeABSA,Towards Generative Aspect-Based Sentiment Analysis,da_doc_toan_van,2021,ACL-IJCNLP 2021 (Short Papers),G5_sinh_prompting,"embedding_ngu_canh (T5, subword, mo hinh SINH chu khong phai phan loai)",khong,,khong,en,"SemEval 2014 Task 4 + SemEval 2015/2016 Task 12/5 (Restaurant + Laptop), 2 dang gan nhan (annotation-style + extraction-style)",F1 (trung binh 5 lan chay),"F1 77,13% (UABSA trên Rest14, mô hình GAS-Extraction, Bảng 2); cùng mô hình: Lap14 68,06, Rest15 65,96, Rest16 73,64. Bài còn báo cáo hai tác vụ AOPE và ASTE",khong,khong,co,https://aclanthology.org/2021.acl-short.64/,"Tim moi 22/09/2026, tra loi nhom G5_sinh_prompting. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Wenxuan Zhang, Xin Li, Yang Deng, Lidong Bing, Wai Lam | SUA 22/09/2026 (lan 3): ban truoc ghi 'F1 73,64%' ma khong noi tap nao — do la Rest16; doc lai bang theo che do layout, cot la L14/R14/R15/R16 | Y TUONG: chuyen moi tac vu con cua ABSA thanh bai toan SINH VAN BAN bang T5 | co_ma_nguon=co: 'The data and code can be found at github.com/IsakZhang/Generative-ABSA' | co_giai_thich=khong: khong co muc case study"
ChatGPTSentiment,Is ChatGPT a Good Sentiment Analyzer? A Preliminary Study,da_doc_toan_van,2023,arXiv (chua qua hoi nghi/tap chi co phan bien tinh den 22/09/2026 — xem ghi_chu),G5_sinh_prompting,"embedding_ngu_canh (ChatGPT tien huan luyen, hoc trong ngu canh qua prompt, KHONG tinh chinh)",khong,,khong,en,"17 bộ chuẩn trên 7 tác vụ. Riêng cho CH3: SST-2-Negation (236 câu) và SST-2-Speculation (88 câu) do bài tự rút từ SST-2 bằng danh sách từ khoá; 14-Res-Negation (1.008), 14-Lap-Negation (462), 14-Res-Speculation (448), 14-Lap-Speculation (217) lấy từ Moore & Barnes (2021)","accuracy, macro-F1","QUAN TRỌNG CHO CH3: trên 14-Res-Negation, ChatGPT zero-shot đạt acc 79,66 / macro-F1 69,12, BERT tinh chỉnh 70,93 / 61,90 (Bảng 2, dòng trên là accuracy, dòng dưới macro-F1); trung bình trên ABSC ChatGPT hơn BERT 10% accuracy và 8% F1. Trên SC mức câu hai mô hình bằng nhau (SST-2-Neg 90,68)",co,co,co,https://arxiv.org/abs/2304.04339,"Tim moi 22/09/2026, tra loi nhom G5_sinh_prompting VA la BANG CHUNG TRUC TIEP cho CH3 — lien quan toi `gpt4o_zeroshot` cua de tai. Kiem chung DA DOC TOAN VAN (pypdf tu arxiv.org, 21 trang; Bang 2 doc lai theo che do layout de xac dinh dung cot). Tac gia: Zengzhi Wang, Qiming Xie, Yi Feng, Zixiang Ding, Zinong Yang, Rui Xia (Nanjing University of Science and Technology) | SUA 22/09/2026 (lan 3): ban truoc viet bai 'tu xay' cac tap 14-Res/Lap-Negation/Speculation — SAI, bai ghi ro cac tap nay 'introduced by Moore and Barnes (2021)' (da them thanh dong MooreNegationTSA); chi SST-2-Neg/Spec la bai tu rut | xu_ly_phu_dinh_chuyen_y=co: muc 3.3 'Polarity Shift Evaluation' la danh gia dinh luong chuyen biet cho phu dinh va suy doan (khong xu ly chuyen y) | Hoi nghi: khong tim duoc ban da qua phan bien, chi co arXiv — can luu y khi viet Chuong 3 | co_giai_thich=co: nhieu case study (Hinh 3, 4, 6, 7, Phu luc A.4-A.6) | co_ma_nguon=co: github.com/NUSTM/ChatGPT-Sentiment-Evaluation"
VariaInstructTuning,Instruction Tuning for Few-Shot Aspect-Based Sentiment Analysis,da_doc_toan_van,2023,WASSA 2023 (ACL Workshop),G5_sinh_prompting,"embedding_ngu_canh (T5, tinh chinh theo chi dan, hoc da tac vu — Multi-Task Learning)",khong,,khong,en,"SemEval 2014/2015/2016 (4 tac vu con ABSA), boi canh FEW-SHOT (it du lieu huan luyen)",micro F1,"cai thien TRUNG BINH +8,29 diem F1 so voi baseline trong boi canh few-shot (khong phai 1 con so tuyet doi don — bai bao cao tren nhieu tac vu con, xem ghi_chu)",khong,khong,co,https://aclanthology.org/2023.wassa-1.3/,"Tim moi 22/09/2026, tra loi nhom G5_sinh_prompting. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Siddharth Varia, Shuai Wang, Kishaloy Halder, Robert Vacareanu, Miguel Ballesteros, Yassine Benajiba, Neha Anna John, Rishita Anubhai, Smaranda Muresan, Dan Roth (Amazon + Columbia + Penn) | DA duoc InstructABSA (da co trong ma tran) trich dan truc tiep lam so sanh — hai bai cung huong 'instruction tuning cho ABSA', bai nay xuat hien TRUOC (WASSA 2023 so voi NAACL 2024 cua InstructABSA) | co_ma_nguon=co: 'Sources available at github.com/amazon-science/instruction-tuning-for-absa' | co_giai_thich=khong: quet toan bai khong co muc case study"
NeuroSymbolic3rdWave,Neurosymbolic AI: The 3rd Wave,da_doc_toan_van,2020,"arXiv 2020 (ban v2, 16/12/2020) — BAN XUAT BAN CHINH THUC 2023 tren Artificial Intelligence Review, vol 56, tr. 12387-12406, DOI 10.1007/s10462-023-10448-w, CHUA doc ban nay",G6_neuro_symbolic,"khac (day la bai LUAN DINH VI/khao sat khai niem, khong phai 1 mo hinh — khong co 'dau vao mo hinh' theo nghia thong thuong)",khong,,co,en,"Khong ap dung — bai luan dinh vi (position paper), KHONG chay thuc nghiem tren bo du lieu cu the nao, chi phan tich/tong hop cac cong trinh da co","Khong ap dung — khong co do do dinh luong, dong gop la mot KHUNG PHAN LOAI (3 lan song AI: bieu tuong thuan tuy -> hoc thong ke -> tich hop neurosymbolic)","Khong co con so ket qua — dong gop la khung ly thuyet 3 lan song, khong phai mo hinh do duoc hieu nang",khong,khong,khong,https://arxiv.org/abs/2012.05876,"Tim moi 22/09/2026, tra loi nhom G6_neuro_symbolic con thieu. Kiem chung DA DOC TOAN VAN (pypdf tu arxiv.org, 37 trang). Tac gia: Artur d'Avila Garcez (City, University of London), Luis C. Lamb (UFRGS, Brazil) | ⚠️ LUU Y VE TIEU CHI NHAN/LOAI (muc 4 protocol): bai nay la vi du CO Y THUC di CHECH tieu chi 1 ('co thuc nghiem dinh luong') — day la bai LUAN VI TRI (position paper) dinh nghia toan bo khung khai niem 'neuro-symbolic AI', duoc dua vao vi la TAI LIEU NEN TANG DAI DIEN cho ca nhom G6 (cung logic nhu Hatzivassiloglou 1997 dai dien G1) — KHONG PHAI vi no co thuc nghiem rieng. Hoc vien can quyet dinh co giu dong nay khi viet Chuong 2/3 hay thay bang 1 bai neuro-symbolic ABSA thuan thuc nghiem hon | KHONG ap dung truc tiep cho ABSA/sentiment — pham vi la AI noi chung, dua vao theo dieu khoan ngoai le muc 4.3 ('phuong phap neuro-symbolic cho phan loai van ban') | co_tri_thuc_ngoai=co: chinh chu de bai la tich hop tri thuc bieu tuong voi mang no-ron"
KoconNeuroSymbolic,Neuro-Symbolic Models for Sentiment Analysis,da_doc_toan_van,2022,ICCS 2022 (22nd Int'l Conf. on Computational Science),G6_neuro_symbolic,embedding_ngu_canh (HerBERT + BiLSTM ket hop tri thuc tu KEPLER/plWordNet — mo hinh lai),khong,,co,khac,"PolEmo 2.0 (danh gia cam xuc tieng BA LAN, KHONG phai ABSA — phan loai cam xuc van ban noi chung)",macro-F1,"macro-F1 87% (mô hình SE — Sentiment Embeddings) so với 83% (mô hình TE — Token Extension); TE suy luận tập kiểm tra mất 3,6 giây, nhanh gần 4 lần SE",khong,khong,khong,https://link.springer.com/chapter/10.1007/978-3-031-08754-7_69,"Tim moi 22/09/2026, tra loi nhom G6_neuro_symbolic. Kiem chung DA DOC TOAN VAN (pypdf tu iccs-meeting.org). Tac gia: Jan Kocon, Joanna Baran, Marcin Gruza, Arkadiusz Janz, Michal Kajstura, Przemyslaw Kazienko, Wojciech Korczynski, Piotr Milkowski, Maciej Piasecki, Joanna Szolomicka (Wroclaw University of Science and Technology, Ba Lan) | SUA 22/09/2026 (lan 3): (1) ban truoc ghi SE la 'Sentence Embedding' — SAI, muc 4.6 cua bai la 'SE: Sentiment Embeddings Model'; (2) ban truoc ghi ngon_ngu=en — SAI, du lieu la tieng BA LAN (PolEmo 2.0, plWordNet); da mo rong tu vung cot ngon_ngu them gia tri 'khac' de ghi dung | KHONG PHAI ABSA: phan loai cam xuc muc van ban, dua vao theo dieu khoan ngoai le 4.3 (neuro-symbolic cho phan loai van ban) | Bai de xuat Tailored KEPLER va Token Extension, ket hop transformer HerBERT + BiLSTM voi co so tri thuc plWordNet | co_giai_thich=khong, co_ma_nguon=khong: khong thay cau tu cong bo ma"
HamiltonNeSyNLP,Is Neuro-Symbolic AI Meeting its Promise in Natural Language Processing? A Structured Review,da_doc_toan_van,2022,"Semantic Web journal (IOS Press), 2022",G6_neuro_symbolic,"khac (day la bai TONG QUAN CO CAU TRUC — khao sat va cham diem NHIEU cong trinh khac nhau, khong phai 1 mo hinh)",khong,,co,en,"Khong ap dung mot bo ACSA cu the — day la khao sat co cau truc: sang loc 1.902 cong trinh tim duoc, chon ra tap con lien quan de phan tich sau (xem ghi_chu)","Khong ap dung do do ACSA — bai tu dinh nghia 'diem hua hen' (promise score) theo 5 tieu chi (suy luan, tong quat hoa ngoai phan bo, kha giai thich, hoc tu it du lieu, chuyen giao mien) de cham diem cac cong trinh duoc khao sat","Khong co 1 con so accuracy/F1 — ket luan chinh la: he thong BIEN LOGIC VAO TRUC TIEP mang no-ron dat nhieu tieu chi 'hua hen' cua neuro-symbolic AI nhat, cac yeu to khac (cach bieu dien tri thuc, kieu kien truc) khong the hien tuong quan ro rang",khong,khong,khong,https://arxiv.org/abs/2202.12205,"Tim moi 22/09/2026, tra loi nhom G6_neuro_symbolic. Kiem chung DA DOC TOAN VAN (pypdf tu arxiv.org, 43 trang). Tac gia THAT SU: Kyle Hamilton, Aparna Nayak, Bojan Bozic, Luca Longo (Technological University Dublin) — QUAN TRONG: cong cu tim kiếm ban dau goi y nham tac gia la 'Monireh Ebrahimi, Pascal Hitzler...', nhung DOC CHINH TRANG DAU bai bao moi phat hien do la TEN BIEN TAP VIEN cua so dac biet tap chi, KHONG PHAI tac gia bai nay — da doi ten ref_key tu 'EbrahimiNeSyReview' sang 'HamiltonNeSyNLP' cho dung, va day chinh la vi du song cho nguyen tac 'luon doc chinh nguon, dung tin nguyen van tom tat tim kiem' | ⚠️ Giong dong `NeuroSymbolic3rdWave`: day cung la bai TONG QUAN, khong co thuc nghiem rieng theo nghia thong thuong — dua vao vi la tai lieu nen tang cho nhom G6, hoc vien can can nhac khi viet Chuong 2/3 | co_giai_thich=khong (theo nghia 'giai thich du doan'), co_ma_nguon=khong: day la bai tong quan, khong co code"
SemEval2016,SemEval-2016 Task 5: Aspect Based Sentiment Analysis,da_doc_toan_van,2016,SemEval 2016,TAI_NGUYEN,"khac (bai dinh nghia TAC VU mo rong da ngon ngu + tap du lieu, khong phai 1 mo hinh cu the)",khong,,khong,da_ngu,"SemEval 2016 Task 5 — 39 tập (19 huấn luyện, 20 kiểm tra), 8 ngôn ngữ (Anh, Ả Rập, Trung, Hà Lan, Pháp, Nga, Tây Ban Nha, Thổ Nhĩ Kỳ) × 7 miền (nhà hàng, laptop, điện thoại, máy ảnh, khách sạn, bảo tàng, viễn thông), tổng 70.790 bộ nhãn","F1, accuracy (tuy slot: trich khia canh cau/van ban, phan loai cuc tinh)","Bai bao cao ket qua tren NHIEU bang rieng theo ngon ngu/mien (Bang 3-7), 245 luot nop tu cac doi — KHONG rut gon duoc thanh 1 con so 'tot nhat' duy nhat ma khong mat thong tin do co qua nhieu cau hinh (tieng Anh chiem da so voi 156/245 luot nop). Tu to chuc con cung cap he thong baseline (LibSVM) de doi chieu",khong,khong,co,https://aclanthology.org/S16-1002/,"Tim moi 22/09/2026, bo sung nhom TAI_NGUYEN. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology, 12 trang). Tac gia: Maria Pontiki va 17 dong tac gia khac (12 co quan o Hy Lap, Anh, Jordan, Trung Quoc, Bi, Phap, Nga, Tay Ban Nha, Tho Nhi Ky) | SUA 22/09/2026 (lan 3): (1) ban truoc ghi '16 dong tac gia' — SAI, trang dau co 18 ten; (2) ban truoc liet ke 6 mien, bo sot KHACH SAN — bai ghi ro 7 mien; (3) ban truoc ghi co_ma_nguon=khong — SAI, bai viet: 'The baseline systems and evaluation scripts are implemented in Java and are available for download from the SE-ABSA16 website' | Mo rong sang 8 ngon ngu, KHONG co tieng Viet | ket_qua_tot_nhat de 'khong rut gon duoc' thay vi bia 1 con so — bang ket qua nhieu cot bi xao thu tu khi trich chu tu PDF, khong doc chinh xac tung o | co_giai_thich=khong"
SemEval2014,SemEval-2014 Task 4: Aspect Based Sentiment Analysis,da_doc_toan_van,2014,SemEval 2014,TAI_NGUYEN,"khac (bai dinh nghia TAC VU + tap du lieu, khong phai 1 mo hinh cu the)",khong,,khong,en,SemEval 2014 Task 4 — CHINH NO la nguon dinh nghia tap Restaurant + Laptop ma gan het cac dong G2/G4 trong ma tran nay dung lai,"F1 (trich khia canh/thuat ngu), accuracy (cuc tinh)","32 đội, 165 bài nộp. Trích thuật ngữ khía cạnh (SB1): DLIREC F1 84,01% (Restaurant), IHS RD. 74,55% (Laptop). Cực tính thuật ngữ (SB2): DCU acc 80,95% (Restaurant), 70,48% (Laptop, đồng hạng NRC-Canada). Cực tính nhóm khía cạnh (SB4, dạng ACSA): NRC-Canada acc 82,92% (Restaurant). Đây là kết quả của các ĐỘI THAM GIA, không phải của nhóm tổ chức",khong,khong,co,https://aclanthology.org/S14-2004/,"Tim moi 22/09/2026, bo sung nhom TAI_NGUYEN. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Maria Pontiki, Haris Papageorgiou, Dimitrios Galanis, Ion Androutsopoulos, John Pavlopoulos, Suresh Manandhar | SUA 22/09/2026 (lan 3): (1) ban truoc ghi DLIREC 84,01% la mien Laptop — SAI, Bang 4 cho thay la Restaurant; (2) ban truoc ghi co_ma_nguon=khong — SAI, footnote 7: 'Implementations of the baselines and further information about the baselines are available at alt.qcri.org/semeval2014/task4/data/uploads/' | Day la bai GOC dinh nghia 4 tac vu con (SB1 trich thuat ngu, SB2 cuc tinh thuat ngu, SB3 nhan dien nhom khia canh, SB4 cuc tinh nhom khia canh) — SB4 chinh la dang ACSA cua de tai, CAN TRICH DAN o Chuong 2 | co_giai_thich=khong"
SemEval2015,SemEval-2015 Task 12: Aspect Based Sentiment Analysis,da_doc_toan_van,2015,SemEval 2015,TAI_NGUYEN,"khac (bai dinh nghia TAC VU mo rong + tap du lieu, khong phai 1 mo hinh cu the)",khong,,khong,en,"SemEval 2015 Task 12 — mo rong SemEval 2014 sang 3 mien (nha hang, laptop, KHACH SAN), dua them khai niem 'y kien' (opinion) muc cau","F1 (trich pham tru khia canh), accuracy (cuc tinh)","Doi thang cuoc NLANGP dat F1 62,68% (Restaurant) / 50,86% (Laptop) cho nhan dien pham tru khia canh — day la ket qua cua DOI THAM GIA, khong phai cua nhom to chuc. Mien khach san (hidden domain, subtask 2): doi Lsislif thang, LT3 nhi voi acc 80,53%",khong,khong,co,https://aclanthology.org/S15-2082/,"Tim moi 22/09/2026, bo sung nhom TAI_NGUYEN. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Maria Pontiki, Dimitrios Galanis, Haris Papageorgiou, Suresh Manandhar, Ion Androutsopoulos | SUA 22/09/2026 (lan 3): ban truoc ghi co_ma_nguon=khong — SAI, muc 4.2: 'The baseline systems and evaluation scripts are available for download as a single zip from the SE-ABSA15 website' | Dua them mien KHACH SAN (hotel, 'hidden domain') — day CHINH LA mien VLSP-2018 (tieng Viet) cung dung, dang chu y doi chieu o muc 3.8 | co_giai_thich=khong"
HuLogicRules2016,Harnessing Deep Neural Networks with Logic Rules,da_doc_toan_van,2016,ACL 2016,G6_neuro_symbolic,"embedding_tinh (word2vec, mức từ — mạng CNN của Kim 2014)",khong,,co,en,"SST2 + MR + CR (phân loại cảm xúc mức câu, nhị phân); thêm CoNLL-2003 cho nhận diện thực thể","accuracy (cảm xúc), F1 (nhận diện thực thể)","acc 89,3% (SST2), 81,7% (MR), 85,3% (CR) với mạng giáo viên CNN-Rule-q, so với CNN gốc 87,2 / 81,3 / 84,3 (Bảng 1); MR và CR là trung bình kiểm định chéo 10 lần",co,khong,co,https://aclanthology.org/P16-1228/,"Tim moi 22/09/2026 (dot 3). Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Zhiting Hu, Xuezhe Ma, Zhengzhong Liu, Eduard Hovy, Eric P. Xing (Carnegie Mellon University) | RAT LIEN QUAN DE TAI: chung cat (distill) luat logic bac nhat vao trong so mang no-ron qua khung thay-tro (teacher-student) — dung dang 'neuro-symbolic' ma NS-MGAT huong toi | xu_ly_phu_dinh_chuyen_y=co: luat 'A-but-B' (cam xuc cua ca cau theo menh de sau 'but') xu ly CHUYEN Y mot cach tuong minh bang luat; KHONG xu ly phu dinh | co_tri_thuc_ngoai=co: tri thuc la luat logic do nguoi viet | KHONG PHAI ABSA: phan loai cam xuc muc cau, dua vao theo ngoai le muc 4 protocol (ban rieng ve chuyen y) | co_ma_nguon=co: bai khong tu nhac, nhung repo github.com/ZhitingHu/logicnn nam duoi tai khoan tac gia dau va README trich dung bai (kiem 22/09/2026) | co_giai_thich=khong"
TranValenceShiftersVN,Toward Contextual Valence Shifters in Vietnamese Reviews,da_doc_toan_van,2017,ROCLING 2017,TAI_NGUYEN,"khac (bài phân tích ngôn ngữ học và thống kê ngữ liệu, không cài đặt mô hình)",khong,,khong,vi,"14.460 đánh giá khách sạn thu từ mytour.vn, tổng 3.829.253 từ",Không có độ đo đánh giá mô hình — chỉ thống kê tần suất xuất hiện của các từ đổi cực tính,"Không có kết quả mô hình. Thống kê tần suất: 'không' 9.778 lần, 'rất' 8.373, 'khá' 5.977, 'nhưng' 3.728 trên 3.829.253 từ (Bảng I–IV)",co,khong,khong,https://aclanthology.org/O17-1016/,"Tim moi 22/09/2026 (dot 3). Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology, 8 trang). Tac gia: Thien Khai Tran, Tuoi Thi Phan (DH Bach khoa TP.HCM + DH Ngoai ngu Tin hoc TP.HCM) | GIA TRI RAT CAO CHO CH2 + CH3: bai tu nhan la cong trinh DAU TIEN nghien cuu tu doi cuc tinh trong tieng Viet — phan loai: tu phu dinh (khong, chang, cha, chang bao gio), tu giam nhe (kha, hoi, phan nao), tu tang cuong (rat, cuc ky, vo cung), lien tu tuong phan (mac du, tuy nhien, nhung), cau nhan qua (vi...nen), cau dieu kien (neu...thi), cau hoi | ⚠️ LECH TIEU CHI 1 CUA MUC 4 PROTOCOL: bai KHONG co thuc nghiem danh gia mo hinh — chi thong ke tan suat; phan ket luan tu viet 'In future work, the proposed rules will be actualized', tuc cac luat de xuat CHUA duoc cai dat. Dua vao vi day la nguon duy nhat tim duoc ve phu dinh/chuyen y trong tieng Viet; hoc vien can nhac khi viet Chuong 3 | co_tri_thuc_ngoai=khong: khong co mo hinh nen khong ap dung"
RGAT,Relational Graph Attention Network for Aspect-based Sentiment Analysis,da_doc_toan_van,2020,ACL 2020,G4_do_thi,"embedding_tinh (GloVe, mức từ; biến thể R-GAT+BERT dùng embedding ngữ cảnh)",co,cu_phap,khong,en,SemEval 2014 Restaurant + Laptop + Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 83,30% / macro-F1 76,08% (Restaurant, R-GAT với GloVe, Bảng 2); Laptop 77,42 / 73,76; Twitter 75,57 / 73,82. Biến thể R-GAT+BERT: 86,60 / 81,35 (Restaurant), 78,21 / 74,07 (Laptop), 76,15 / 74,88 (Twitter)",khong,khong,co,https://aclanthology.org/2020.acl-main.295/,"Tim moi 22/09/2026 (dot 3). Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Kai Wang, Weizhou Shen, Yunyi Yang, Xiaojun Quan, Rui Wang (Sun Yat-sen University + Alibaba) | Dung lai cay phu thuoc thanh cay HUONG KHIA CANH (goc tai khia canh) roi ma hoa bang graph attention co nhan quan he | PHAN TICH LOI RAT DANG CHU Y (Bang 5, 100 mau doan sai tren Restaurant): R-GAT — trung tinh 46%, kho hieu 32%, loi khuyen 6%, PHU DINH KEP 6%; R-GAT+BERT — 50 / 31 / 5 / 3. Lop trung tinh chiem gan mot nua loi, KHOP voi phat hien cua chinh de tai (trung tinh kho nhat o ca 3 baseline) | xu_ly_phu_dinh_chuyen_y=khong: khong co co che rieng, chi dem phu dinh kep trong phan tich loi | Bang 2 dong thoi xac nhan cheo so lieu cua ASGCN, CDT, RAM, IAN, ATAE-LSTM da ghi trong ma tran | co_ma_nguon=co: 'The source code of this work is released for future research' + github.com/shenwzh3/RGAT-ABSA | co_giai_thich=khong: co phan tich loi, khong co truc quan hoa giai thich du doan"
CDT,Aspect-Level Sentiment Analysis Via Convolution over Dependency Tree,da_doc_toan_van,2019,EMNLP-IJCNLP 2019,G4_do_thi,"embedding_tinh (GloVe, 300 chiều, mức từ)",co,cu_phap,khong,en,SemEval 2014 Restaurant + Laptop + Twitter (Dong et al. 2014) + SemEval 2016 Restaurant,"accuracy, F1 (bài không ghi rõ macro hay micro; R-GAT khi trích lại xếp vào cột macro-F1)","acc 82,30% / F1 74,02% (Rest14, Bảng 2); Laptop 77,19 / 72,99; Twitter 74,66 / 73,66; Rest16 85,58 / 69,93",khong,co,co,https://aclanthology.org/D19-1569/,"Tim moi 22/09/2026 (dot 3). Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Kai Sun, Richong Zhang, Samuel Mensah, Yongyi Mao, Xudong Liu (Beihang University + University of Ottawa) | BiLSTM ma hoa ngu canh roi GCN chay tren cay phu thuoc cua cau | So lieu khop voi Bang 2 cua R-GAT khi trich lai CDT | co_giai_thich=co: muc 5.7 Case Study, Hinh 5-6 truc quan hoa attention | co_ma_nguon=co: 'The code for our model is found on the Github page' + github.com/sunkaikai/CDT_ABSA"
CouncillNegationScope,What's Great and What's Not: Learning to Classify the Scope of Negation for Improved Sentiment Analysis,da_doc_toan_van,2010,"Workshop on Negation and Speculation in NLP (NeSp-NLP 2010), Uppsala",G1_co_dien,"dac_trung_thu_cong (đặc trưng từ bộ phân tích cú pháp phụ thuộc, đưa vào CRF)",khong,,khong,en,"Kho nhận xét sản phẩm tự xây (268 đánh giá, 2.111 câu, 679 câu có phủ định) + BioScope","F1 (phát hiện phạm vi phủ định); precision, recall, F1 (cảm xúc)","F1 80,0% phát hiện phạm vi phủ định trên kho nhận xét, 75,5% trên BioScope; khi gắn vào hệ thống cảm xúc: precision cảm xúc tích cực 44,0% → 64,1%, F1 tích cực 48,8 → 63,9, F1 tiêu cực 32,3 → 40,0",co,khong,khong,https://aclanthology.org/W10-3110/,"Tim moi 22/09/2026 (dot 3). Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Isaac G. Councill, Ryan McDonald, Leonid Velikovich (Google) | Bai KINH DIEN ve phat hien PHAM VI phu dinh cho phan tich cam xuc — chi phu dinh tuong minh trong mot cau | Kho du lieu: dong thuan 91% giua 2 nguoi gan nhan tren mot tap con | Phat hien dang chu y: he thong cam xuc goc lech manh ve phia du doan tich cuc, phat hien phu dinh dong vai tro sua lech | KHONG PHAI ABSA: dua vao theo ngoai le muc 4 protocol (ban rieng ve phu dinh) | co_giai_thich=khong, co_ma_nguon=khong: khong thay cau cong bo ma"
